r,t,y,AnnualVariableOperatingCost
"REGION1","DEMTRABIO",2031,0.02075
"REGION1","DEMTRABIO",2032,0.02057
"REGION1","DEMTRABIO",2033,0.02034
"REGION1","DEMTRABIO",2034,0.02008
"REGION1","DEMTRABIO",2035,0.01981
"REGION1","DEMTRABIO",2036,0.01953
"REGION1","DEMTRABIO",2037,0.01925
"REGION1","DEMTRABIO",2038,0.01897
"REGION1","DEMTRABIO",2039,0.0187
"REGION1","DEMTRABIO",2040,0.01844
"REGION1","DEMTRABIO",2041,0.018334
"REGION1","DEMTRABIO",2042,0.018101
"REGION1","DEMTRABIO",2043,0.017867
"REGION1","DEMTRABIO",2044,0.017634
"REGION1","DEMTRABIO",2045,0.0174
"REGION1","DEMTRABIO",2046,0.017167
"REGION1","DEMTRABIO",2047,0.016934
"REGION1","DEMTRABIO",2048,0.0167
"REGION1","DEMTRABIO",2049,0.016467
"REGION1","DEMTRABIO",2050,0.016233
"REGION1","DEMTRANGS",2020,0.0018
"REGION1","DEMTRANGS",2021,0.00204
"REGION1","DEMTRANGS",2022,0.0026
"REGION1","DEMTRANGS",2023,0.00286
"REGION1","DEMTRANGS",2024,0.00317
"REGION1","DEMTRANGS",2025,0.00355
"REGION1","DEMTRANGS",2026,0.00397
"REGION1","DEMTRANGS",2027,0.00443
"REGION1","DEMTRANGS",2028,0.00516
"REGION1","DEMTRANGS",2029,0.00558
"REGION1","DEMTRANGS",2030,0.00604
"REGION1","DEMTRANGS",2031,0.00651
"REGION1","DEMTRANGS",2032,0.0076
"REGION1","DEMTRANGS",2033,0.00808
"REGION1","DEMTRANGS",2034,0.00857
"REGION1","DEMTRANGS",2035,0.00908
"REGION1","DEMTRANGS",2036,0.01015
"REGION1","DEMTRANGS",2037,0.01073
"REGION1","DEMTRANGS",2038,0.01135
"REGION1","DEMTRANGS",2039,0.01204
"REGION1","DEMTRANGS",2040,0.01279
"REGION1","DEMTRANGS",2041,0.013207
"REGION1","DEMTRANGS",2042,0.01384
"REGION1","DEMTRANGS",2043,0.014474
"REGION1","DEMTRANGS",2044,0.015108
"REGION1","DEMTRANGS",2045,0.015741
"REGION1","DEMTRANGS",2046,0.016375
"REGION1","DEMTRANGS",2047,0.017008
"REGION1","DEMTRANGS",2048,0.017642
"REGION1","DEMTRANGS",2049,0.018275
"REGION1","DEMTRANGS",2050,0.018909
"REGION1","DEMTRALPG",2020,0.00266
"REGION1","DEMTRALPG",2021,0.00272
"REGION1","DEMTRALPG",2022,0.00279
"REGION1","DEMTRALPG",2023,0.00286
"REGION1","DEMTRALPG",2024,0.00291
"REGION1","DEMTRALPG",2025,0.00296
"REGION1","DEMTRALPG",2026,0.00302
"REGION1","DEMTRALPG",2027,0.00307
"REGION1","DEMTRALPG",2028,0.00313
"REGION1","DEMTRALPG",2029,0.00317
"REGION1","DEMTRALPG",2030,0.0032
"REGION1","DEMTRALPG",2031,0.00321
"REGION1","DEMTRALPG",2032,0.0032
"REGION1","DEMTRALPG",2033,0.00316
"REGION1","DEMTRALPG",2034,0.00311
"REGION1","DEMTRALPG",2035,0.00303
"REGION1","DEMTRALPG",2036,0.00293
"REGION1","DEMTRALPG",2037,0.00281
"REGION1","DEMTRALPG",2038,0.00268
"REGION1","DEMTRALPG",2039,0.00252
"REGION1","DEMTRALPG",2040,0.00235
"REGION1","DEMTRALPG",2041,0.002603
"REGION1","DEMTRALPG",2042,0.002557
"REGION1","DEMTRALPG",2043,0.002511
"REGION1","DEMTRALPG",2044,0.002464
"REGION1","DEMTRALPG",2045,0.002418
"REGION1","DEMTRALPG",2046,0.002372
"REGION1","DEMTRALPG",2047,0.002326
"REGION1","DEMTRALPG",2048,0.002279
"REGION1","DEMTRALPG",2049,0.002233
"REGION1","DEMTRALPG",2050,0.002187
"REGION1","DEMTRAELCB02",2020,0.00124
"REGION1","DEMTRAELCB02",2021,0.00162
"REGION1","DEMTRAELCB02",2022,0.00208
"REGION1","DEMTRAELCB02",2023,0.00264
"REGION1","DEMTRAELCB02",2024,0.00326
"REGION1","DEMTRAELCB02",2025,0.00406
"REGION1","DEMTRAELCB02",2026,0.00487
"REGION1","DEMTRAELCB02",2027,0.00573
"REGION1","DEMTRAELCB02",2028,0.00661
"REGION1","DEMTRAELCB02",2029,0.00759
"REGION1","DEMTRAELCB02",2030,0.00869
"REGION1","DEMTRAELCB02",2031,0.0099
"REGION1","DEMTRAELCB02",2032,0.01125
"REGION1","DEMTRAELCB02",2033,0.01281
"REGION1","DEMTRAELCB02",2034,0.01436
"REGION1","DEMTRAELCB02",2035,0.01604
"REGION1","DEMTRAELCB02",2036,0.01785
"REGION1","DEMTRAELCB02",2037,0.01979
"REGION1","DEMTRAELCB02",2038,0.02192
"REGION1","DEMTRAELCB02",2039,0.02415
"REGION1","DEMTRAELCB02",2040,0.02642
"REGION1","DEMTRAELCB02",2041,0.027295
"REGION1","DEMTRAELCB02",2042,0.029069
"REGION1","DEMTRAELCB02",2043,0.030843
"REGION1","DEMTRAELCB02",2044,0.032616
"REGION1","DEMTRAELCB02",2045,0.03439
"REGION1","DEMTRAELCB02",2046,0.036164
"REGION1","DEMTRAELCB02",2047,0.037937
"REGION1","DEMTRAELCB02",2048,0.039711
"REGION1","DEMTRAELCB02",2049,0.041485
"REGION1","DEMTRAELCB02",2050,0.043259
"REGION1","DEMPWRNGS",2020,0
"REGION1","DEMPWRNGS",2021,0
"REGION1","DEMPWRNGS",2022,0
"REGION1","DEMPWRNGS",2023,0
"REGION1","DEMPWRNGS",2024,0
"REGION1","DEMPWRNGS",2025,0
"REGION1","DEMPWRNGS",2026,0
"REGION1","DEMPWRNGS",2027,0
"REGION1","DEMPWRNGS",2028,0
"REGION1","DEMPWRNGS",2029,0
"REGION1","DEMPWRNGS",2030,0
"REGION1","DEMPWRNGS",2031,0
"REGION1","DEMPWRNGS",2032,0
"REGION1","DEMPWRNGS",2033,0
"REGION1","DEMPWRNGS",2034,0
"REGION1","DEMPWRNGS",2035,0
"REGION1","DEMPWRNGS",2036,0
"REGION1","DEMPWRNGS",2037,0
"REGION1","DEMPWRNGS",2038,0
"REGION1","DEMPWRNGS",2039,0
"REGION1","DEMPWRNGS",2040,0
"REGION1","DEMPWRNGS",2041,0
"REGION1","DEMPWRNGS",2042,0
"REGION1","DEMPWRNGS",2043,0
"REGION1","DEMPWRNGS",2044,0
"REGION1","DEMPWRNGS",2045,0
"REGION1","DEMPWRNGS",2046,0
"REGION1","DEMPWRNGS",2047,0
"REGION1","DEMPWRNGS",2048,0
"REGION1","DEMPWRNGS",2049,0
"REGION1","DEMPWRNGS",2050,0
"REGION1","PWRNGSB01",2020,0
"REGION1","PWRNGSB01",2021,0
"REGION1","PWRNGSB01",2022,0
"REGION1","PWRNGSB01",2023,0
"REGION1","PWRNGSB01",2024,0
"REGION1","PWRNGSB01",2025,0
"REGION1","PWRNGSB01",2026,0
"REGION1","PWRNGSB01",2027,0
"REGION1","PWRNGSB01",2028,0
"REGION1","PWRNGSB01",2029,0
"REGION1","PWRNGSB01",2030,0
"REGION1","PWRNGSB01",2031,0
"REGION1","PWRNGSB01",2032,0
"REGION1","PWRNGSB01",2033,0
"REGION1","PWRNGSB01",2034,0
"REGION1","PWRNGSB01",2035,0
"REGION1","PWRNGSB01",2036,0
"REGION1","PWRNGSB01",2037,0
"REGION1","PWRNGSB01",2038,0
"REGION1","PWRNGSB01",2039,0
"REGION1","PWRNGSB01",2040,0
"REGION1","PWRNGSB01",2041,0
"REGION1","PWRNGSB01",2042,0
"REGION1","PWRNGSB01",2043,0
"REGION1","PWRNGSB01",2044,0
"REGION1","PWRNGSB01",2045,0
"REGION1","PWRNGSB01",2046,0
"REGION1","PWRNGSB01",2047,0
"REGION1","PWRNGSB01",2048,0
"REGION1","PWRNGSB01",2049,0
"REGION1","PWRNGSB01",2050,0
"REGION1","DEMPWRSURBC1",2020,0
"REGION1","DEMPWRSURBC1",2021,0
"REGION1","DEMPWRSURBC1",2022,0
"REGION1","DEMPWRSURBC1",2023,0
"REGION1","DEMPWRSURBC1",2024,0.000130231555919999
"REGION1","DEMPWRSURBC1",2025,0
"REGION1","DEMPWRSURBC1",2026,0
"REGION1","DEMPWRSURBC1",2027,0
"REGION1","DEMPWRSURBC1",2028,0
"REGION1","DEMPWRSURBC1",2029,0
"REGION1","DEMPWRSURBC1",2030,0
"REGION1","DEMPWRSURBC1",2031,0
"REGION1","DEMPWRSURBC1",2032,0
"REGION1","DEMPWRSURBC1",2033,0
"REGION1","DEMPWRSURBC1",2034,0
"REGION1","DEMPWRSURBC1",2035,0
"REGION1","DEMPWRSURBC1",2036,0
"REGION1","DEMPWRSURBC1",2037,0
"REGION1","DEMPWRSURBC1",2038,0
"REGION1","DEMPWRSURBC1",2039,0
"REGION1","DEMPWRSURBC1",2040,0
"REGION1","DEMPWRSURBC1",2041,0
"REGION1","DEMPWRSURBC1",2042,0
"REGION1","DEMPWRSURBC1",2043,0
"REGION1","DEMPWRSURBC1",2044,0
"REGION1","DEMPWRSURBC1",2045,0
"REGION1","DEMPWRSURBC1",2046,0
"REGION1","DEMPWRSURBC1",2047,0
"REGION1","DEMPWRSURBC1",2048,0
"REGION1","DEMPWRSURBC1",2049,0
"REGION1","DEMPWRSURBC1",2050,0
"REGION1","DEMPWRWND",2020,0.196814289441657
"REGION1","DEMPWRWND",2021,0.210084006441658
"REGION1","DEMPWRWND",2022,0.222947130441658
"REGION1","DEMPWRWND",2023,0.236882181441658
"REGION1","DEMPWRWND",2024,0.239278079145658
"REGION1","DEMPWRWND",2025,0.239278079145658
"REGION1","DEMPWRWND",2026,0.263636696145658
"REGION1","DEMPWRWND",2027,0.274910411145658
"REGION1","DEMPWRWND",2028,0.282820493145658
"REGION1","DEMPWRWND",2029,0.290471834145658
"REGION1","DEMPWRWND",2030,0.304850441145658
"REGION1","DEMPWRWND",2031,0.320781494145658
"REGION1","DEMPWRWND",2032,0.336564695145658
"REGION1","DEMPWRWND",2033,0.346175075145658
"REGION1","DEMPWRWND",2034,0.351645599145657
"REGION1","DEMPWRWND",2035,0.357892346145658
"REGION1","DEMPWRWND",2036,0.364841390145658
"REGION1","DEMPWRWND",2037,0.372492731145658
"REGION1","DEMPWRWND",2038,0.382214000145658
"REGION1","DEMPWRWND",2039,0.392046158145658
"REGION1","DEMPWRWND",2040,0.401915279145658
"REGION1","DEMPWRWND",2041,0.41049792924192
"REGION1","DEMPWRWND",2042,0.41935056774192
"REGION1","DEMPWRWND",2043,0.42819950994192
"REGION1","DEMPWRWND",2044,0.43704105954192
"REGION1","DEMPWRWND",2045,0.44589000174192
"REGION1","DEMPWRWND",2046,0.45473524764192
"REGION1","DEMPWRWND",2047,0.46358418984192
"REGION1","DEMPWRWND",2048,0.47242943574192
"REGION1","DEMPWRWND",2049,0.48127837794192
"REGION1","DEMPWRWND",2050,0.49012362384192
"REGION1","PWRWNDB01",2020,0.0013098982176
"REGION1","PWRWNDB01",2021,0.0013098982176
"REGION1","PWRWNDB01",2022,0.0013098982176
"REGION1","PWRWNDB01",2023,0.0013098982176
"REGION1","PWRWNDB01",2024,0.0013098982176
"REGION1","PWRWNDB01",2025,0.0013098982176
"REGION1","PWRWNDB01",2026,0.0013098982176
"REGION1","PWRWNDB01",2027,0.0013098982176
"REGION1","PWRWNDB01",2028,0.0013098982176
"REGION1","PWRWNDB01",2029,0.0013098982176
"REGION1","PWRWNDB01",2030,0.0013098982176
"REGION1","PWRWNDB01",2031,0.0013098982176
"REGION1","PWRWNDB01",2032,0.0013098982176
"REGION1","PWRWNDB01",2033,0.0013098982176
"REGION1","PWRWNDB01",2034,0.0013098982176
"REGION1","PWRWNDB01",2035,0.0013098982176
"REGION1","PWRWNDB01",2036,0.0013098982176
"REGION1","PWRWNDB01",2037,0
"REGION1","PWRWNDB01",2038,0
"REGION1","PWRWNDB01",2039,0
"REGION1","PWRWNDB01",2040,0
"REGION1","PWRWNDB01",2041,0
"REGION1","PWRWNDB01",2042,0
"REGION1","PWRWNDB01",2043,0
"REGION1","PWRWNDB01",2044,0
"REGION1","PWRWNDB01",2045,0
"REGION1","PWRWNDB01",2046,0
"REGION1","PWRWNDB01",2047,0
"REGION1","PWRWNDB01",2048,0
"REGION1","PWRWNDB01",2049,0
"REGION1","PWRWNDB01",2050,0
"REGION1","PWRWNDB02",2020,0.000693981216
"REGION1","PWRWNDB02",2021,0.000693981216
"REGION1","PWRWNDB02",2022,0.000693981216
"REGION1","PWRWNDB02",2023,0.000693981216
"REGION1","PWRWNDB02",2024,0.000693981216
"REGION1","PWRWNDB02",2025,0.000693981216
"REGION1","PWRWNDB02",2026,0.000693981216
"REGION1","PWRWNDB02",2027,0.000693981216
"REGION1","PWRWNDB02",2028,0.000693981216
"REGION1","PWRWNDB02",2029,0.000693981216
"REGION1","PWRWNDB02",2030,0.000693981216
"REGION1","PWRWNDB02",2031,0.000693981216
"REGION1","PWRWNDB02",2032,0.000693981216
"REGION1","PWRWNDB02",2033,0.000693981216
"REGION1","PWRWNDB02",2034,0.000693981216
"REGION1","PWRWNDB02",2035,0
"REGION1","PWRWNDB02",2036,0
"REGION1","PWRWNDB02",2037,0
"REGION1","PWRWNDB02",2038,0
"REGION1","PWRWNDB02",2039,0
"REGION1","PWRWNDB02",2040,0
"REGION1","PWRWNDB02",2041,0
"REGION1","PWRWNDB02",2042,0
"REGION1","PWRWNDB02",2043,0
"REGION1","PWRWNDB02",2044,0
"REGION1","PWRWNDB02",2045,0
"REGION1","PWRWNDB02",2046,0
"REGION1","PWRWNDB02",2047,0
"REGION1","PWRWNDB02",2048,0
"REGION1","PWRWNDB02",2049,0
"REGION1","PWRWNDB02",2050,0
"REGION1","PWRWNDB03",2020,0.001690077312
"REGION1","PWRWNDB03",2021,0.001690077312
"REGION1","PWRWNDB03",2022,0.001690077312
"REGION1","PWRWNDB03",2023,0.001690077312
"REGION1","PWRWNDB03",2024,0.001690077312
"REGION1","PWRWNDB03",2025,0.001690077312
"REGION1","PWRWNDB03",2026,0.001690077312
"REGION1","PWRWNDB03",2027,0.001690077312
"REGION1","PWRWNDB03",2028,0.001690077312
"REGION1","PWRWNDB03",2029,0.001690077312
"REGION1","PWRWNDB03",2030,0.001690077312
"REGION1","PWRWNDB03",2031,0.001690077312
"REGION1","PWRWNDB03",2032,0.001690077312
"REGION1","PWRWNDB03",2033,0.001690077312
"REGION1","PWRWNDB03",2034,0.001690077312
"REGION1","PWRWNDB03",2035,0.001690077312
"REGION1","PWRWNDB03",2036,0.001690077312
"REGION1","PWRWNDB03",2037,0.001690077312
"REGION1","PWRWNDB03",2038,0
"REGION1","PWRWNDB03",2039,0
"REGION1","PWRWNDB03",2040,0
"REGION1","PWRWNDB03",2041,0
"REGION1","PWRWNDB03",2042,0
"REGION1","PWRWNDB03",2043,0
"REGION1","PWRWNDB03",2044,0
"REGION1","PWRWNDB03",2045,0
"REGION1","PWRWNDB03",2046,0
"REGION1","PWRWNDB03",2047,0
"REGION1","PWRWNDB03",2048,0
"REGION1","PWRWNDB03",2049,0
"REGION1","PWRWNDB03",2050,0
"REGION1","PWRWNDB04",2020,0.0019449323424
"REGION1","PWRWNDB04",2021,0.0019449323424
"REGION1","PWRWNDB04",2022,0.0019449323424
"REGION1","PWRWNDB04",2023,0.0019449323424
"REGION1","PWRWNDB04",2024,0.0019449323424
"REGION1","PWRWNDB04",2025,0.0019449323424
"REGION1","PWRWNDB04",2026,0.0019449323424
"REGION1","PWRWNDB04",2027,0.0019449323424
"REGION1","PWRWNDB04",2028,0.0019449323424
"REGION1","PWRWNDB04",2029,0.0019449323424
"REGION1","PWRWNDB04",2030,0.0019449323424
"REGION1","PWRWNDB04",2031,0.0019449323424
"REGION1","PWRWNDB04",2032,0.0019449323424
"REGION1","PWRWNDB04",2033,0.0019449323424
"REGION1","PWRWNDB04",2034,0.0019449323424
"REGION1","PWRWNDB04",2035,0.0019449323424
"REGION1","PWRWNDB04",2036,0.0019449323424
"REGION1","PWRWNDB04",2037,0.0019449323424
"REGION1","PWRWNDB04",2038,0.0019449323424
"REGION1","PWRWNDB04",2039,0.0019449323424
"REGION1","PWRWNDB04",2040,0.0019449323424
"REGION1","PWRWNDB04",2041,0.0019449323424
"REGION1","PWRWNDB04",2042,0.0019449323424
"REGION1","PWRWNDB04",2043,0
"REGION1","PWRWNDB04",2044,0
"REGION1","PWRWNDB04",2045,0
"REGION1","PWRWNDB04",2046,0
"REGION1","PWRWNDB04",2047,0
"REGION1","PWRWNDB04",2048,0
"REGION1","PWRWNDB04",2049,0
"REGION1","PWRWNDB04",2050,0
"REGION1","PWRWNDB05",2020,0.0002683524384
"REGION1","PWRWNDB05",2021,0.0002683524384
"REGION1","PWRWNDB05",2022,0.0002683524384
"REGION1","PWRWNDB05",2023,0.0002683524384
"REGION1","PWRWNDB05",2024,0.0002683524384
"REGION1","PWRWNDB05",2025,0.0002683524384
"REGION1","PWRWNDB05",2026,0.0002683524384
"REGION1","PWRWNDB05",2027,0.0002683524384
"REGION1","PWRWNDB05",2028,0.0002683524384
"REGION1","PWRWNDB05",2029,0.0002683524384
"REGION1","PWRWNDB05",2030,0.0002683524384
"REGION1","PWRWNDB05",2031,0.0002683524384
"REGION1","PWRWNDB05",2032,0.0002683524384
"REGION1","PWRWNDB05",2033,0.0002683524384
"REGION1","PWRWNDB05",2034,0.0002683524384
"REGION1","PWRWNDB05",2035,0.0002683524384
"REGION1","PWRWNDB05",2036,0.0002683524384
"REGION1","PWRWNDB05",2037,0.0002683524384
"REGION1","PWRWNDB05",2038,0.0002683524384
"REGION1","PWRWNDB05",2039,0.0002683524384
"REGION1","PWRWNDB05",2040,0.0002683524384
"REGION1","PWRWNDB05",2041,0.0002683524384
"REGION1","PWRWNDB05",2042,0.0002683524384
"REGION1","PWRWNDB05",2043,0.0002683524384
"REGION1","PWRWNDB05",2044,0.0002683524384
"REGION1","PWRWNDB05",2045,0
"REGION1","PWRWNDB05",2046,0
"REGION1","PWRWNDB05",2047,0
"REGION1","PWRWNDB05",2048,0
"REGION1","PWRWNDB05",2049,0
"REGION1","PWRWNDB05",2050,0
"REGION1","PWRWNDB06",2020,0.001125141408
"REGION1","PWRWNDB06",2021,0.001125141408
"REGION1","PWRWNDB06",2022,0.001125141408
"REGION1","PWRWNDB06",2023,0.001125141408
"REGION1","PWRWNDB06",2024,0.001125141408
"REGION1","PWRWNDB06",2025,0.001125141408
"REGION1","PWRWNDB06",2026,0.001125141408
"REGION1","PWRWNDB06",2027,0.001125141408
"REGION1","PWRWNDB06",2028,0.001125141408
"REGION1","PWRWNDB06",2029,0.001125141408
"REGION1","PWRWNDB06",2030,0.001125141408
"REGION1","PWRWNDB06",2031,0.001125141408
"REGION1","PWRWNDB06",2032,0.001125141408
"REGION1","PWRWNDB06",2033,0.001125141408
"REGION1","PWRWNDB06",2034,0.001125141408
"REGION1","PWRWNDB06",2035,0.001125141408
"REGION1","PWRWNDB06",2036,0.001125141408
"REGION1","PWRWNDB06",2037,0.001125141408
"REGION1","PWRWNDB06",2038,0.001125141408
"REGION1","PWRWNDB06",2039,0
"REGION1","PWRWNDB06",2040,0
"REGION1","PWRWNDB06",2041,0
"REGION1","PWRWNDB06",2042,0
"REGION1","PWRWNDB06",2043,0
"REGION1","PWRWNDB06",2044,0
"REGION1","PWRWNDB06",2045,0
"REGION1","PWRWNDB06",2046,0
"REGION1","PWRWNDB06",2047,0
"REGION1","PWRWNDB06",2048,0
"REGION1","PWRWNDB06",2049,0
"REGION1","PWRWNDB06",2050,0
"REGION1","PWRWNDB07",2020,0.0002370939552
"REGION1","PWRWNDB07",2021,0.0002370939552
"REGION1","PWRWNDB07",2022,0.0002370939552
"REGION1","PWRWNDB07",2023,0.0002370939552
"REGION1","PWRWNDB07",2024,0.0002370939552
"REGION1","PWRWNDB07",2025,0.0002370939552
"REGION1","PWRWNDB07",2026,0.0002370939552
"REGION1","PWRWNDB07",2027,0.0002370939552
"REGION1","PWRWNDB07",2028,0.0002370939552
"REGION1","PWRWNDB07",2029,0.0002370939552
"REGION1","PWRWNDB07",2030,0.0002370939552
"REGION1","PWRWNDB07",2031,0.0002370939552
"REGION1","PWRWNDB07",2032,0.0002370939552
"REGION1","PWRWNDB07",2033,0.0002370939552
"REGION1","PWRWNDB07",2034,0.0002370939552
"REGION1","PWRWNDB07",2035,0.0002370939552
"REGION1","PWRWNDB07",2036,0.0002370939552
"REGION1","PWRWNDB07",2037,0.0002370939552
"REGION1","PWRWNDB07",2038,0.0002370939552
"REGION1","PWRWNDB07",2039,0.0002370939552
"REGION1","PWRWNDB07",2040,0.0002370939552
"REGION1","PWRWNDB07",2041,0.0002370939552
"REGION1","PWRWNDB07",2042,0.0002370939552
"REGION1","PWRWNDB07",2043,0
"REGION1","PWRWNDB07",2044,0
"REGION1","PWRWNDB07",2045,0
"REGION1","PWRWNDB07",2046,0
"REGION1","PWRWNDB07",2047,0
"REGION1","PWRWNDB07",2048,0
"REGION1","PWRWNDB07",2049,0
"REGION1","PWRWNDB07",2050,0
"REGION1","PWRWNDB08",2020,0.000259604352
"REGION1","PWRWNDB08",2021,0.000259604352
"REGION1","PWRWNDB08",2022,0.000259604352
"REGION1","PWRWNDB08",2023,0.000259604352
"REGION1","PWRWNDB08",2024,0.000259604352
"REGION1","PWRWNDB08",2025,0.000259604352
"REGION1","PWRWNDB08",2026,0.000259604352
"REGION1","PWRWNDB08",2027,0.000259604352
"REGION1","PWRWNDB08",2028,0.000259604352
"REGION1","PWRWNDB08",2029,0.000259604352
"REGION1","PWRWNDB08",2030,0.000259604352
"REGION1","PWRWNDB08",2031,0.000259604352
"REGION1","PWRWNDB08",2032,0.000259604352
"REGION1","PWRWNDB08",2033,0.000259604352
"REGION1","PWRWNDB08",2034,0.000259604352
"REGION1","PWRWNDB08",2035,0.000259604352
"REGION1","PWRWNDB08",2036,0.000259604352
"REGION1","PWRWNDB08",2037,0.000259604352
"REGION1","PWRWNDB08",2038,0.000259604352
"REGION1","PWRWNDB08",2039,0.000259604352
"REGION1","PWRWNDB08",2040,0.000259604352
"REGION1","PWRWNDB08",2041,0.000259604352
"REGION1","PWRWNDB08",2042,0.000259604352
"REGION1","PWRWNDB08",2043,0
"REGION1","PWRWNDB08",2044,0
"REGION1","PWRWNDB08",2045,0
"REGION1","PWRWNDB08",2046,0
"REGION1","PWRWNDB08",2047,0
"REGION1","PWRWNDB08",2048,0
"REGION1","PWRWNDB08",2049,0
"REGION1","PWRWNDB08",2050,0
"REGION1","DEMPWRBIO",2020,0
"REGION1","DEMPWRBIO",2021,0
"REGION1","DEMPWRBIO",2022,0
"REGION1","DEMPWRBIO",2023,0
"REGION1","DEMPWRBIO",2024,0.0127546369199999
"REGION1","DEMPWRBIO",2025,0
"REGION1","DEMPWRBIO",2026,0
"REGION1","DEMPWRBIO",2027,0
"REGION1","DEMPWRBIO",2028,0
"REGION1","DEMPWRBIO",2029,0
"REGION1","DEMPWRBIO",2030,0
"REGION1","DEMPWRBIO",2031,0
"REGION1","DEMPWRBIO",2032,0
"REGION1","DEMPWRBIO",2033,0
"REGION1","DEMPWRBIO",2034,0
"REGION1","DEMPWRBIO",2035,0
"REGION1","DEMPWRBIO",2036,0
"REGION1","DEMPWRBIO",2037,0
"REGION1","DEMPWRBIO",2038,0
"REGION1","DEMPWRBIO",2039,0
"REGION1","DEMPWRBIO",2040,0
"REGION1","DEMPWRBIO",2041,0
"REGION1","DEMPWRBIO",2042,0
"REGION1","DEMPWRBIO",2043,0
"REGION1","DEMPWRBIO",2044,0
"REGION1","DEMPWRBIO",2045,0
"REGION1","DEMPWRBIO",2046,0
"REGION1","DEMPWRBIO",2047,0
"REGION1","DEMPWRBIO",2048,0
"REGION1","DEMPWRBIO",2049,0
"REGION1","DEMPWRBIO",2050,0
"REGION1","PWRBIOB01",2020,0
"REGION1","PWRBIOB01",2021,0
"REGION1","PWRBIOB01",2022,0
"REGION1","PWRBIOB01",2023,0
"REGION1","PWRBIOB01",2024,3.4271748
"REGION1","PWRBIOB01",2025,0
"REGION1","PWRBIOB01",2026,0
"REGION1","PWRBIOB01",2027,0
"REGION1","PWRBIOB01",2028,0
"REGION1","PWRBIOB01",2029,0
"REGION1","PWRBIOB01",2030,0
"REGION1","PWRBIOB01",2031,0
"REGION1","PWRBIOB01",2032,0
"REGION1","PWRBIOB01",2033,0
"REGION1","PWRBIOB01",2034,0
"REGION1","PWRBIOB01",2035,0
"REGION1","PWRBIOB01",2036,0
"REGION1","PWRBIOB01",2037,0
"REGION1","PWRBIOB01",2038,0
"REGION1","PWRBIOB01",2039,0
"REGION1","PWRBIOB01",2040,0
"REGION1","PWRBIOB01",2041,0
"REGION1","PWRBIOB01",2042,0
"REGION1","PWRBIOB01",2043,0
"REGION1","PWRBIOB01",2044,0
"REGION1","PWRBIOB01",2045,0
"REGION1","PWRBIOB01",2046,0
"REGION1","PWRBIOB01",2047,0
"REGION1","PWRBIOB01",2048,0
"REGION1","PWRBIOB01",2049,0
"REGION1","PWRBIOB01",2050,0
"REGION1","PWRBIOB02",2020,0
"REGION1","PWRBIOB02",2021,0
"REGION1","PWRBIOB02",2022,0
"REGION1","PWRBIOB02",2023,0
"REGION1","PWRBIOB02",2024,13.2531367614545
"REGION1","PWRBIOB02",2025,0
"REGION1","PWRBIOB02",2026,0
"REGION1","PWRBIOB02",2027,0
"REGION1","PWRBIOB02",2028,0
"REGION1","PWRBIOB02",2029,0
"REGION1","PWRBIOB02",2030,0
"REGION1","PWRBIOB02",2031,0
"REGION1","PWRBIOB02",2032,0
"REGION1","PWRBIOB02",2033,0
"REGION1","PWRBIOB02",2034,0
"REGION1","PWRBIOB02",2035,0
"REGION1","PWRBIOB02",2036,0
"REGION1","PWRBIOB02",2037,0
"REGION1","PWRBIOB02",2038,0
"REGION1","PWRBIOB02",2039,0
"REGION1","PWRBIOB02",2040,0
"REGION1","PWRBIOB02",2041,0
"REGION1","PWRBIOB02",2042,0
"REGION1","PWRBIOB02",2043,0
"REGION1","PWRBIOB02",2044,0
"REGION1","PWRBIOB02",2045,0
"REGION1","PWRBIOB02",2046,0
"REGION1","PWRBIOB02",2047,0
"REGION1","PWRBIOB02",2048,0
"REGION1","PWRBIOB02",2049,0
"REGION1","PWRBIOB02",2050,0
"REGION1","PWRBIOB03",2020,0
"REGION1","PWRBIOB03",2021,0
"REGION1","PWRBIOB03",2022,0
"REGION1","PWRBIOB03",2023,0
"REGION1","PWRBIOB03",2024,1.82782656
"REGION1","PWRBIOB03",2025,0
"REGION1","PWRBIOB03",2026,0
"REGION1","PWRBIOB03",2027,0
"REGION1","PWRBIOB03",2028,0
"REGION1","PWRBIOB03",2029,0
"REGION1","PWRBIOB03",2030,0
"REGION1","PWRBIOB03",2031,0
"REGION1","PWRBIOB03",2032,0
"REGION1","PWRBIOB03",2033,0
"REGION1","PWRBIOB03",2034,0
"REGION1","PWRBIOB03",2035,0
"REGION1","PWRBIOB03",2036,0
"REGION1","PWRBIOB03",2037,0
"REGION1","PWRBIOB03",2038,0
"REGION1","PWRBIOB03",2039,0
"REGION1","PWRBIOB03",2040,0
"REGION1","PWRBIOB03",2041,0
"REGION1","PWRBIOB03",2042,0
"REGION1","PWRBIOB03",2043,0
"REGION1","PWRBIOB03",2044,0
"REGION1","PWRBIOB03",2045,0
"REGION1","PWRBIOB03",2046,0
"REGION1","PWRBIOB03",2047,0
"REGION1","PWRBIOB03",2048,0
"REGION1","PWRBIOB03",2049,0
"REGION1","PWRBIOB03",2050,0
"REGION1","PWRBIOB04",2020,0
"REGION1","PWRBIOB04",2021,0
"REGION1","PWRBIOB04",2022,0
"REGION1","PWRBIOB04",2023,0
"REGION1","PWRBIOB04",2024,3.10761497454535
"REGION1","PWRBIOB04",2025,0
